Code,Company,Price,Change,Volume,Value,Capitalisation
AFI,Australian Foundation Investment Company Limited,$8.840,-$0.110 / -1.23%,"1,419","$12,570.50","$10,838,116,940"
AMP,AMP Limited,$1.140,-$0.020 / -1.72%,"10,449","$11,959.27","$3,917,723,135"
ANZ,Australia and New Zealand Banking Group Limited,$29.140,$0.020 / 0.07%,"7,661","$223,737.74","$82,669,457,794"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
MHJ,Michael Hill International Limited,$0.860,-$0.010 / -1.15%,"1,886,914","$1,612,304.70","$333,925,422"
WBC,Westpac Banking Corporation,$27.030,$0.080 / 0.30%,"3,907","$105,800.48","$99,162,036,570"
AKL,Auckland Real Estate Trust,$0.790,$0.000 / 0.00%,0,$0.00,"$63,470,299"
DGC,DGL Group Limited,$2.690,$0.120 / 4.67%,"61,760","$163,280.90","$739,750,000"
CRP,Chatham Rock Phosphate Limited,$0.129,$0.000 / 0.00%,309,$39.86,"$8,350,212"
TCL,The City of London Investment Trust Plc,$7.750,$0.010 / 0.13%,"3,545","$27,345.58","$3,460,761,477"
FCT,F&C Investment Trust PLC,$17.600,$0.150 / 0.86%,118,"$2,076.88","$9,346,839,638"
TEM,Templeton Emerging Markets Investment Trust Plc,$3.660,$0.020 / 0.55%,"25,039","$90,755.73","$4,323,296,877"
BIT,The Bankers Investment Trust Plc,$2.350,$0.010 / 0.43%,"14,484","$33,946.31","$3,090,491,651"
JPG,JPMorgan Global Growth & Income plc,$9.350,$0.000 / 0.00%,751,"$7,045.33","$1,442,137,315"
HFL,Henderson Far East Income Limited,$6.200,$0.000 / 0.00%,403,"$2,497.42","$936,780,097"
AFT,AFT Pharmaceuticals Limited,$4.120,-$0.070 / -1.67%,"9,651","$39,911.58","$431,318,165"
AGG,Smartshares Global Aggregate Bond ETF,$1.331,$0.002 / 0.15%,"6,038","$8,013.18","$163,466,273"
AIA,Auckland International Airport Limited,$7.300,-$0.020 / -0.27%,"771,290","$5,636,844.23","$10,750,326,290"
AIR,Air New Zealand Limited (NS),$1.580,$0.000 / 0.00%,"638,405","$1,011,228.70","$1,774,039,870"
ALF,Allied Farmers Limited,$0.630,$0.010 / 1.61%,"17,946","$11,276.56","$18,148,053"
APA,Smartshares Asia Pacific ETF,$2.380,$0.015 / 0.63%,"13,173","$31,324.20","$135,090,528"
PCT,Precinct Properties New Zealand Limited (NS),$1.710,-$0.010 / -0.58%,"553,110","$945,235.84","$2,527,786,523"
ARG,Argosy Property Limited,$1.705,-$0.025 / -1.45%,"1,935,500","$3,320,449.33","$1,436,580,994"
ARV,Arvida Group Limited,$2.100,$0.000 / 0.00%,"2,260,520","$4,724,710.50","$1,140,667,206"
ASD,Smartshares Australian Dividend ETF,$1.679,$0.015 / 0.90%,"31,113","$52,307.47","$32,622,199"
ASF,Smartshares Australian Financials ETF,$7.947,$0.083 / 1.06%,"1,802","$14,387.06","$29,924,174"
ASP,Smartshares Australian Property ETF,$1.645,$0.005 / 0.30%,"23,121","$37,996.66","$66,906,313"
ASR,Smartshares Australian Resources ETF,$5.450,-$0.007 / -0.13%,"20,649","$113,190.32","$44,595,350"
ATM,The a2 Milk Company Limited,$5.920,-$0.010 / -0.17%,"481,747","$2,852,974.29","$4,402,185,562"
AUS,Smartshares S&P/ASX 200 ETF,$3.126,$0.008 / 0.26%,"15,286","$47,805.24","$50,993,525"
AGL,Accordant Group Limited,$1.620,$0.000 / 0.00%,228,$370.56,"$54,769,370"
GXH,Green Cross Health Limited,$1.130,-$0.030 / -2.59%,"26,736","$30,269.60","$161,762,618"
BFG,Burger Fuel Group Limited,$0.375,-$0.020 / -5.06%,"9,019","$3,425.26","$18,876,324"
BGP,Briscoe Group Limited,$6.810,$0.100 / 1.49%,"2,166","$14,740.74","$1,515,608,403"
BLT,Blis Technologies Limited,$0.066,-$0.001 / -1.49%,"390,216","$25,765.93","$84,070,906"
BOT,Smartshares Automation and Robotics ETF,$4.794,$0.045 / 0.95%,"55,445","$266,861.21","$52,546,511"
BRM,Barramundi Limited,$1.070,$0.000 / 0.00%,"61,045","$65,316.98","$228,728,216"
BRMWF,Barramundi Limited,$0.336,-$0.005 / -1.47%,"33,957","$11,515.84","$17,651,060"
MHM,MHM Automation Limited,$0.630,$0.000 / 0.00%,"22,856","$14,177.87","$41,340,012"
BRW,Bremworth Limited,$0.780,$0.030 / 4.00%,"120,218","$93,078.12","$53,569,696"
CBD,Cannasouth Limited,$0.410,$0.005 / 1.23%,"45,917","$18,658.66","$55,695,072"
CEN,Contact Energy Limited,$8.130,$0.010 / 0.12%,"431,725","$3,513,512.55","$6,309,872,429"
CGF,Cooks Global Foods Limited,$0.043,$0.001 / 2.38%,"6,576",$282.78,"$26,996,855"
VHP,Vital Healthcare Property Trust,$3.180,-$0.045 / -1.40%,"435,994","$1,390,325.14","$1,665,822,569"
CMO,The Colonial Motor Company Limited,$10.650,$0.150 / 1.43%,"2,796","$29,705.31","$348,197,831"
CNU,Chorus Limited (NS),$7.140,$0.070 / 0.99%,"415,743","$2,966,334.04","$3,191,757,672"
CO2,Carbon Fund,$1.950,$0.000 / 0.00%,"139,452","$272,684.49","$53,275,806"
GMT,Goodman Property Trust (NS),$2.545,$0.000 / 0.00%,"350,861","$892,436.35","$3,556,136,995"
CVT,Comvita Limited,$3.740,$0.040 / 1.08%,"39,634","$147,777.04","$263,232,514"
DGL,Delegat Group Limited,$14.600,$0.500 / 3.55%,"3,323","$47,740.11","$1,476,500,803"
DIV,Smartshares NZ Dividend ETF,$1.360,-$0.003 / -0.22%,"46,366","$63,375.95","$112,753,807"
SPY,Smartpay Holdings Limited,$0.760,-$0.010 / -1.30%,"2,445","$1,861.70","$181,096,572"
EBO,Ebos Group Limited,$34.990,$0.180 / 0.52%,"65,857","$2,303,942.60","$5,744,466,315"
ACE,Ascension Capital Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$1,914,888"
EMF,Smartshares Emerging Markets ETF,$1.487,$0.018 / 1.23%,"20,977","$31,086.23","$160,773,183"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.497,$0.020 / 0.81%,"6,330","$15,768.11","$38,785,092"
ENS,Enprise Group Limited,$2.140,-$0.120 / -5.31%,"1,406","$3,061.47","$34,577,476"
ERD,EROAD Limited,$6.240,$0.080 / 1.30%,"23,678","$147,079.40","$605,415,951"
ESG,Smartshares Global Equities ESG ETF,$2.759,$0.036 / 1.32%,"24,344","$67,163.26","$23,038,246"
EUF,Smartshares Europe ETF,$1.993,$0.002 / 0.10%,"122,598","$244,208.19","$205,619,875"
EUG,Smartshares Europe Equities ESG ETF,$2.839,$0.014 / 0.50%,"7,538","$21,438.10","$41,230,573"
EVO,Evolve Education Group Limited,$0.750,$0.040 / 5.63%,"132,155","$96,102.73","$119,662,113"
FPH,Fisher & Paykel Healthcare Corporation Limited,$33.800,$0.050 / 0.15%,"149,992","$5,058,597.44","$19,484,291,723"
FBU,Fletcher Building Limited,$7.460,$0.090 / 1.22%,"256,938","$1,900,111.75","$6,125,794,062"
FNZ,Smartshares NZ Top 50 ETF,$3.606,$0.011 / 0.31%,"124,492","$449,434.20","$810,092,151"
FRE,Freightways Limited,$12.760,-$0.180 / -1.39%,"180,648","$2,323,831.93","$2,114,822,571"
