Code,Company,Price,Change,Volume,Value,Capitalisation
AFI,Australian Foundation Investment Company Limited,$8.950,$0.000 / 0.00%,764,"$6,786.10","$10,972,980,386"
AMP,AMP Limited,$1.160,$0.000 / 0.00%,"13,282","$15,402.92","$3,986,455,120"
ANZ,Australia and New Zealand Banking Group Limited,$29.110,$0.110 / 0.38%,"25,913","$748,876.03","$82,622,755,719"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
MHJ,Michael Hill International Limited,$0.870,$0.010 / 1.16%,"268,545","$233,534.70","$337,808,275"
WBC,Westpac Banking Corporation,$26.910,-$0.170 / -0.63%,"9,916","$266,908.90","$98,721,805,553"
AKL,Auckland Real Estate Trust,$0.790,$0.000 / 0.00%,0,$0.00,"$63,470,299"
DGC,DGL Group Limited,$2.570,$0.050 / 1.98%,"32,152","$82,107.39","$706,750,000"
CRP,Chatham Rock Phosphate Limited,$0.129,$0.000 / 0.00%,"38,400","$4,953.58","$8,350,212"
TCL,The City of London Investment Trust Plc,$7.740,-$0.010 / -0.13%,"4,085","$31,619.43","$3,456,295,978"
FCT,F&C Investment Trust PLC,$17.450,$0.000 / 0.00%,1,$17.55,"$9,267,474,781"
TEM,Templeton Emerging Markets Investment Trust Plc,$3.640,$0.000 / 0.00%,"9,644","$35,163.55","$4,299,672,304"
BIT,The Bankers Investment Trust Plc,$2.340,-$0.010 / -0.43%,"19,771","$46,262.89","$3,077,340,622"
JPG,JPMorgan Global Growth & Income plc,$9.350,$0.050 / 0.54%,"1,713","$16,015.57","$1,441,529,565"
HFL,Henderson Far East Income Limited,$6.200,-$0.040 / -0.64%,"6,370","$39,648.46","$936,780,097"
AFT,AFT Pharmaceuticals Limited,$4.180,$0.000 / 0.00%,"29,119","$122,305.11","$437,557,698"
AGG,Smartshares Global Aggregate Bond ETF,$1.329,-$0.003 / -0.23%,"14,497","$19,269.09","$162,689,043"
AIA,Auckland International Airport Limited,$7.305,$0.055 / 0.76%,"462,178","$3,364,441.28","$10,757,689,527"
AIR,Air New Zealand Limited (NS),$1.570,$0.005 / 0.32%,"700,733","$1,100,574.34","$1,762,811,769"
ALF,Allied Farmers Limited,$0.620,$0.000 / 0.00%,"46,474","$28,796.65","$17,859,989"
APA,Smartshares Asia Pacific ETF,$2.357,$0.008 / 0.34%,"40,289","$95,186.54","$133,525,761"
PCT,Precinct Properties New Zealand Limited (NS),$1.715,$0.005 / 0.29%,"538,763","$921,408.07","$2,535,177,712"
ARG,Argosy Property Limited,$1.730,$0.045 / 2.67%,"2,385,533","$4,075,586.26","$1,457,645,232"
ARV,Arvida Group Limited,$2.100,$0.010 / 0.48%,"171,825","$359,349.94","$1,140,667,206"
ASD,Smartshares Australian Dividend ETF,$1.664,-$0.035 / -2.06%,"23,647","$39,772.04","$32,122,756"
ASF,Smartshares Australian Financials ETF,$7.864,-$0.094 / -1.18%,"6,204","$48,845.45","$29,611,640"
ASP,Smartshares Australian Property ETF,$1.640,-$0.021 / -1.26%,"19,634","$32,343.23","$66,702,951"
ASR,Smartshares Australian Resources ETF,$5.458,-$0.103 / -1.85%,"14,382","$78,840.94","$44,251,461"
ATM,The a2 Milk Company Limited,$5.950,-$0.030 / -0.50%,"1,033,678","$6,109,957.77","$4,424,493,935"
AUS,Smartshares S&P/ASX 200 ETF,$3.117,-$0.006 / -0.19%,"61,803","$192,548.27","$50,846,711"
AGL,Accordant Group Limited,$1.620,-$0.030 / -1.82%,"9,200","$15,173.46","$54,769,370"
GXH,Green Cross Health Limited,$1.150,$0.000 / 0.00%,"46,118","$53,036.29","$164,625,673"
BFG,Burger Fuel Group Limited,$0.395,$0.000 / 0.00%,"8,096","$3,178.05","$19,883,061"
BGP,Briscoe Group Limited,$6.710,-$0.020 / -0.30%,"8,646","$58,194.84","$1,493,352,773"
BLT,Blis Technologies Limited,$0.067,$0.000 / 0.00%,"125,617","$8,435.12","$85,344,707"
BOT,Smartshares Automation and Robotics ETF,$4.737,$0.001 / 0.02%,"36,540","$173,620.47","$51,921,741"
BRM,Barramundi Limited,$1.070,-$0.020 / -1.83%,"124,866","$134,375.54","$228,728,216"
BRMWF,Barramundi Limited,$0.341,$0.006 / 1.79%,"41,407","$14,357.45","$17,913,725"
MHM,MHM Automation Limited,$0.650,$0.010 / 1.56%,"5,454","$3,534.42","$42,652,394"
BRW,Bremworth Limited,$0.750,$0.060 / 8.70%,"253,443","$183,887.90","$51,509,324"
CBD,Cannasouth Limited,$0.405,-$0.010 / -2.41%,"58,511","$23,861.64","$55,015,864"
CEN,Contact Energy Limited,$8.140,-$0.110 / -1.33%,"218,980","$1,791,077.73","$6,317,633,650"
