Code,Company,Price,Change,Volume,Value,Capitalisation
AFI,Australian Foundation Investment Company Limited,$8.980,$0.040 / 0.45%,670,"$6,012.68","$11,009,761,325"
AMP,AMP Limited,$1.100,$0.010 / 0.92%,"148,846","$163,534.84","$3,780,259,165"
ANZ,Australia and New Zealand Banking Group Limited,$28.560,-$0.060 / -0.21%,"35,030","$1,002,861.99","$80,964,735,918"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
MHJ,Michael Hill International Limited,$0.870,$0.020 / 2.35%,"443,553","$381,511.33","$337,808,275"
WBC,Westpac Banking Corporation,$26.590,$0.040 / 0.15%,"9,261","$246,564.14","$97,547,856,175"
AKL,Auckland Real Estate Trust,$0.790,$0.000 / 0.00%,0,$0.00,"$63,470,299"
DGC,DGL Group Limited,$2.800,$0.000 / 0.00%,"11,058","$31,011.36","$770,000,000"
CRP,Chatham Rock Phosphate Limited,$0.131,$0.000 / 0.00%,"28,996","$3,798.47","$8,479,673"
TCL,The City of London Investment Trust Plc,$7.700,$0.000 / 0.00%,36,$278.35,"$3,438,433,984"
FCT,F&C Investment Trust PLC,$17.600,$0.000 / 0.00%,6,$104.70,"$9,344,199,638"
TEM,Templeton Emerging Markets Investment Trust Plc,$3.620,$0.000 / 0.00%,119,$433.95,"$4,276,047,731"
BIT,The Bankers Investment Trust Plc,$2.300,$0.000 / 0.00%,"4,626","$10,602.23","$3,024,736,509"
JPG,JPMorgan Global Growth & Income plc,$9.020,-$0.200 / -2.17%,206,"$1,870.20","$1,399,536,751"
HFL,Henderson Far East Income Limited,$6.230,$0.040 / 0.65%,"1,672","$10,416.58","$941,312,904"
AFT,AFT Pharmaceuticals Limited,$4.280,-$0.010 / -0.23%,"9,615","$40,932.42","$448,068,385"
AGG,Smartshares Global Aggregate Bond ETF,$1.324,-$0.003 / -0.23%,"5,086","$6,750.05","$162,606,570"
AIA,Auckland International Airport Limited,$7.290,-$0.030 / -0.41%,"544,903","$3,976,374.52","$10,735,599,816"
AIR,Air New Zealand Limited (NS),$1.540,$0.010 / 0.65%,"304,338","$468,979.00","$1,729,127,468"
ALF,Allied Farmers Limited,$0.640,$0.010 / 1.59%,"129,018","$82,308.49","$18,436,118"
APA,Smartshares Asia Pacific ETF,$2.377,-$0.014 / -0.59%,"13,642","$32,563.14","$134,920,246"
PCT,Precinct Properties New Zealand Limited (NS),$1.665,-$0.025 / -1.48%,"847,793","$1,418,520.39","$2,461,265,825"
ARG,Argosy Property Limited,$1.660,-$0.015 / -0.90%,"1,165,945","$1,904,894.26","$1,398,665,367"
ARV,Arvida Group Limited,$2.130,$0.030 / 1.43%,"106,655","$226,601.69","$1,156,962,452"
ASD,Smartshares Australian Dividend ETF,$1.632,-$0.015 / -0.91%,"14,566","$23,862.82","$32,117,011"
ASF,Smartshares Australian Financials ETF,$7.878,-$0.022 / -0.28%,"3,078","$24,193.19","$29,664,357"
ASP,Smartshares Australian Property ETF,$1.608,-$0.010 / -0.62%,"18,913","$30,519.81","$65,401,430"
ASR,Smartshares Australian Resources ETF,$5.322,$0.008 / 0.15%,"19,944","$106,683.31","$43,547,973"
ATM,The a2 Milk Company Limited,$5.720,$0.080 / 1.42%,"827,235","$4,717,908.65","$4,253,463,077"
AUS,Smartshares S&P/ASX 200 ETF,$3.065,-$0.007 / -0.23%,"19,789","$60,632.12","$50,611,450"
AGL,Accordant Group Limited,$1.700,$0.000 / 0.00%,192,$327.33,"$57,474,030"
GXH,Green Cross Health Limited,$1.180,$0.000 / 0.00%,"65,923","$77,773.11","$168,920,256"
BFG,Burger Fuel Group Limited,$0.370,$0.000 / 0.00%,"7,440","$2,733.50","$18,624,639"
BGP,Briscoe Group Limited,$6.960,$0.060 / 0.87%,"10,175","$70,690.50","$1,548,991,848"
BLT,Blis Technologies Limited,$0.065,-$0.003 / -4.41%,"190,557","$12,613.44","$82,797,104"
BOT,Smartshares Automation and Robotics ETF,$4.756,$0.027 / 0.57%,"19,985","$95,193.52","$52,367,798"
BRM,Barramundi Limited,$1.060,$0.010 / 0.95%,"55,190","$58,059.74","$226,590,569"
BRMWF,Barramundi Limited,$0.336,-$0.001 / -0.30%,"94,499","$31,858.01","$17,651,060"
MHM,MHM Automation Limited,$0.640,$0.010 / 1.59%,"14,909","$9,583.73","$41,996,203"
BRW,Bremworth Limited,$0.790,-$0.040 / -4.82%,"43,000","$34,799.63","$54,256,487"
CBD,Cannasouth Limited,$0.400,-$0.005 / -1.23%,"35,492","$14,274.54","$54,336,656"
CEN,Contact Energy Limited,$8.130,$0.030 / 0.37%,"331,111","$2,693,870.28","$6,309,872,429"
CGF,Cooks Global Foods Limited,$0.042,$0.000 / 0.00%,286,$12.02,"$26,369,021"
VHP,Vital Healthcare Property Trust,$3.085,-$0.040 / -1.28%,"904,430","$2,813,540.97","$1,616,057,429"
CMO,The Colonial Motor Company Limited,$10.400,-$0.040 / -0.38%,"4,619","$48,165.14","$340,024,173"
CNU,Chorus Limited (NS),$6.860,-$0.190 / -2.70%,"171,870","$1,191,551.28","$3,066,590,704"
CO2,Carbon Fund,$2.010,-$0.090 / -4.29%,"334,285","$694,593.03","$54,915,061"
GMT,Goodman Property Trust (NS),$2.500,-$0.015 / -0.60%,"503,092","$1,261,438.65","$3,493,258,345"
CVT,Comvita Limited,$3.690,-$0.030 / -0.81%,"27,242","$100,913.23","$259,289,012"
DGL,Delegat Group Limited,$14.800,-$0.010 / -0.07%,"1,995","$29,535.35","$1,496,726,842"
DIV,Smartshares NZ Dividend ETF,$1.348,$0.005 / 0.37%,"19,635","$26,491.29","$111,758,920"
SPY,Smartpay Holdings Limited,$0.720,-$0.010 / -1.37%,"22,543","$16,406.68","$171,565,173"
EBO,Ebos Group Limited,$34.190,-$0.010 / -0.03%,"34,321","$1,166,313.11","$5,613,126,702"
ACE,Ascension Capital Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$1,914,888"
EMF,Smartshares Emerging Markets ETF,$1.486,$0.014 / 0.95%,"27,687","$41,020.47","$161,125,724"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.462,-$0.009 / -0.36%,"1,667","$4,107.29","$39,349,348"
ENS,Enprise Group Limited,$2.000,-$0.120 / -5.66%,"5,838","$11,693.39","$32,315,398"
ERD,EROAD Limited,$6.000,-$0.050 / -0.83%,"27,815","$167,081.35","$582,130,722"
ESG,Smartshares Global Equities ESG ETF,$2.743,-$0.002 / -0.07%,"18,384","$50,310.35","$22,904,642"
EUF,Smartshares Europe ETF,$1.957,-$0.014 / -0.71%,"22,406","$43,994.20","$202,189,482"
EUG,Smartshares Europe Equities ESG ETF,$2.803,-$0.014 / -0.50%,"1,398","$3,910.86","$40,707,748"
EVO,Evolve Education Group Limited,$0.780,$0.010 / 1.30%,"23,306","$17,790.60","$124,448,598"
FPH,Fisher & Paykel Healthcare Corporation Limited,$32.880,$0.080 / 0.24%,"785,009","$25,756,629.16","$18,955,278,341"
FBU,Fletcher Building Limited,$7.270,-$0.030 / -0.41%,"311,208","$2,268,102.29","$5,969,775,178"
FNZ,Smartshares NZ Top 50 ETF,$3.548,-$0.007 / -0.20%,"81,771","$291,194.55","$797,771,983"
